Wall time,Step,Value
1579720963.790866,0,0.0
1579721238.1786177,1,0.0
1579721453.4687846,2,0.021052632480859756
1579721672.18643,3,0.02631578966975212
1579721888.5461845,4,0.015789473429322243
1579722105.064775,5,0.021052632480859756
1579722321.6166735,6,0.02631578966975212
1579722538.5552406,7,0.02631578966975212
1579722815.3905888,8,0.031578946858644485
1579723032.6361492,9,0.03684210404753685
1579723250.1505895,10,0.04210526496171951
1579723467.0679371,11,0.031578946858644485
1579723684.3297448,12,0.04210526868700981
1579723901.4436605,13,0.057894736528396606
1579724118.3356895,14,0.05263157933950424
1579724394.9746542,15,0.057894736528396606
1579724614.2476864,16,0.0736842155456543
1579724890.36373,17,0.031578946858644485
1579725107.3236039,18,0.08947368711233139
1579725324.6479023,19,0.08421052247285843
1579725541.4735827,20,0.057894736528396606
1579725760.0628777,21,0.057894736528396606
1579726036.5363135,22,0.04210526496171951
1579726254.7934823,23,0.12105263024568558
1579726473.0954204,24,0.04736841842532158
1579726694.4168148,25,0.06842105090618134
1579726914.204927,26,0.10526315867900848
1579727133.951754,27,0.11578947305679321
1579727354.462605,28,0.13684211671352386
1579727576.2998297,29,0.057894736528396606
1579727798.4836154,30,0.0736842155456543
1579728021.9398057,31,0.10000000149011612
1579728244.5800197,32,0.10000000149011612
1579728467.3761666,33,0.09473684430122375
1579728691.19836,34,0.11052632331848145
1579728915.7845032,35,0.06842105090618134
1579729202.0988543,36,0.10000000149011612
1579729429.2714105,37,0.10000000149011612
1579729658.2926137,38,0.0736842080950737
1579729885.4465368,39,0.10526315867900848
1579730114.0450654,40,0.0736842155456543
1579730342.3439183,41,0.1315789520740509
1579730570.4456933,42,0.15789473056793213
1579730798.6262097,43,0.15263156592845917
1579731026.998934,44,0.13684211671352386
1579731254.942317,45,0.08947369456291199
1579731483.4812667,46,0.09473683685064316
1579731711.9892378,47,0.10000000149011612
1579731941.16435,48,0.1473684310913086
1579732170.2495403,49,0.14210528135299683
1579732457.4328663,50,0.12105264514684677
1579732686.6044765,51,0.12631578743457794
1579732914.6518664,52,0.11578947305679321
1579733143.2194686,53,0.10526315867900848
1579733371.536521,54,0.17894737422466278
1579733600.4658718,55,0.13684211671352386
1579733828.9977698,56,0.10526315867900848
1579734057.2897406,57,0.18421053886413574
1579734285.426864,58,0.14210526645183563
1579734513.8317533,59,0.19473683834075928
1579734742.2837608,60,0.18421052396297455
1579734970.7984233,61,0.13684210181236267
1579735199.8823586,62,0.1315789520740509
1579735428.4206295,63,0.13684211671352386
1579735715.1191957,64,0.19473683834075928
1579735943.7362885,65,0.1473684310913086
1579736172.4233034,66,0.15789473056793213
1579736401.0492225,67,0.17894737422466278
1579736629.5409834,68,0.2052631676197052
1579736857.6981351,69,0.1631578952074051
1579737086.2531354,70,0.12631578743457794
1579737372.6445665,71,0.18421053886413574
1579737601.3960152,72,0.20000000298023224
1579737831.0920653,73,0.12631578743457794
1579738059.5645778,74,0.14210526645183563
1579738288.805052,75,0.13684210181236267
1579738518.1003442,76,0.09473683685064316
1579738747.0447257,77,0.1631578952074051
1579738975.3928452,78,0.20000000298023224
1579739203.5700958,79,0.20000000298023224
1579739432.2454116,80,0.13684210181236267
1579739661.1153932,81,0.173684224486351
1579739889.81078,82,0.13684210181236267
1579740118.6081421,83,0.17368420958518982
1579740347.9104521,84,0.2210526168346405
1579740636.897951,85,0.173684224486351
1579740866.010517,86,0.1473684161901474
1579741095.2840679,87,0.173684224486351
1579741323.975567,88,0.1473684161901474
1579741553.100721,89,0.15789474546909332
1579741782.772619,90,0.17894737422466278
1579742012.0347655,91,0.173684224486351
