Wall time,Step,Value
1579769500.4353178,0,0.0
1579769810.3032374,1,0.005263158120214939
1579770055.610479,2,0.005263158120214939
1579770302.5953548,3,0.010526316240429878
1579770549.3696043,4,0.010526316240429878
1579770797.40379,5,0.021052632480859756
1579771044.6454644,6,0.031578946858644485
1579771293.9513445,7,0.010526316240429878
1579771603.484808,8,0.04210526496171951
1579771849.8310828,9,0.031578946858644485
1579772097.6021233,10,0.015789473429322243
1579772346.606486,11,0.021052632480859756
1579772593.9076383,12,0.02631578966975212
1579772843.1183918,13,0.031578946858644485
1579773090.8572662,14,0.04736841842532158
1579773400.1272018,15,0.03684210777282715
1579773651.6375937,16,0.05263157933950424
1579773961.709759,17,0.02631578966975212
1579774209.5711048,18,0.031578946858644485
1579774456.9614663,19,0.05263157933950424
1579774705.0219722,20,0.06842105090618134
1579774953.2731469,21,0.031578946858644485
1579775262.5232353,22,0.08421052247285843
1579775510.627345,23,0.08421052992343903
1579775758.415238,24,0.05263157933950424
1579776007.2199614,25,0.06315789371728897
1579776254.4186876,26,0.06842105835676193
1579776502.740803,27,0.05263157933950424
1579776753.5533874,28,0.06842105835676193
1579777004.2379234,29,0.10000000149011612
1579777254.027592,30,0.0736842155456543
1579777504.0794194,31,0.057894736528396606
1579777755.1670613,32,0.0736842155456543
1579778006.4346824,33,0.11052630841732025
1579778259.5637314,34,0.06842105835676193
1579778513.388263,35,0.10000000149011612
1579778830.7290156,36,0.06315789371728897
1579779085.7978926,37,0.09473684430122375
1579779342.5850008,38,0.10526315867900848
1579779598.4196196,39,0.10526315867900848
1579779853.9205625,40,0.057894736528396606
1579780110.721451,41,0.0736842155456543
1579780367.1977313,42,0.11578947305679321
1579780622.4888566,43,0.06315789371728897
1579780879.7706447,44,0.11578947305679321
1579781136.0630348,45,0.08947368711233139
1579781393.0883617,46,0.12631578743457794
1579781649.871871,47,0.11052630841732025
1579781905.6250343,48,0.10526315867900848
1579782163.634793,49,0.12631578743457794
1579782483.6590328,50,0.08421053737401962
1579782738.8824542,51,0.06315789371728897
1579782996.7933145,52,0.10526315867900848
1579783252.8257205,53,0.10526315867900848
1579783508.508998,54,0.10000000149011612
1579783763.8814483,55,0.11052630841732025
1579784019.7259896,56,0.09473683685064316
1579784276.1523852,57,0.10526315867900848
1579784534.0358415,58,0.10000000149011612
1579784792.439649,59,0.1315789520740509
1579785043.7178588,60,0.10526315867900848
1579785299.784462,61,0.11052632331848145
1579785557.05594,62,0.07894736528396606
1579785814.9990094,63,0.10000000149011612
1579786133.228856,64,0.15263158082962036
1579786389.1187117,65,0.15263158082962036
1579786644.4953806,66,0.12105263024568558
1579786900.3100884,67,0.10526315867900848
1579787156.9437497,68,0.14210526645183563
1579787415.62978,69,0.15789473056793213
1579787672.976335,70,0.14210526645183563
1579787992.0621748,71,0.15263158082962036
1579788248.302806,72,0.1473684310913086
1579788503.9190528,73,0.13684210181236267
1579788759.626054,74,0.14210528135299683
1579789015.7744265,75,0.12631578743457794
1579789273.7414367,76,0.15263158082962036
1579789532.2481966,77,0.17368420958518982
1579789788.326391,78,0.15263158082962036
1579790043.9131746,79,0.1473684310913086
1579790299.8019779,80,0.15263158082962036
1579790556.7229505,81,0.17368419468402863
1579790813.9645452,82,0.15263158082962036
1579791070.9069033,83,0.1315789520740509
1579791328.6457148,84,0.1473684310913086
1579791647.539283,85,0.18421052396297455
1579791904.1484706,86,0.11578947305679321
1579792162.2751334,87,0.1473684310913086
1579792418.6906745,88,0.173684224486351
1579792675.8712845,89,0.18947367370128632
1579792932.6774693,90,0.205263152718544
1579793190.2539635,91,0.12105263024568558
